Query_ID,Question,Type,Format,Run,Agent_Response,Correct,Time_Seconds,Notes,Error_Type
Q001,What is the price of product P001?,simple_lookup,Markdown,1,,,,,
Q001,What is the price of product P001?,simple_lookup,Markdown,2,,,,,
Q001,What is the price of product P001?,simple_lookup,Markdown,3,,,,,
Q001,What is the price of product P001?,simple_lookup,RDF,1,,,,,
Q001,What is the price of product P001?,simple_lookup,RDF,2,,,,,
Q001,What is the price of product P001?,simple_lookup,RDF,3,,,,,
Q002,What is the name of product P042?,simple_lookup,Markdown,1,,,,,
Q002,What is the name of product P042?,simple_lookup,Markdown,2,,,,,
Q002,What is the name of product P042?,simple_lookup,Markdown,3,,,,,
Q002,What is the name of product P042?,simple_lookup,RDF,1,,,,,
Q002,What is the name of product P042?,simple_lookup,RDF,2,,,,,
Q002,What is the name of product P042?,simple_lookup,RDF,3,,,,,
Q003,List all products from the brand Sony.,simple_lookup,Markdown,1,,,,,
Q003,List all products from the brand Sony.,simple_lookup,Markdown,2,,,,,
Q003,List all products from the brand Sony.,simple_lookup,Markdown,3,,,,,
Q003,List all products from the brand Sony.,simple_lookup,RDF,1,,,,,
Q003,List all products from the brand Sony.,simple_lookup,RDF,2,,,,,
Q003,List all products from the brand Sony.,simple_lookup,RDF,3,,,,,
Q004,Find all products in the Electronics category.,simple_lookup,Markdown,1,,,,,
Q004,Find all products in the Electronics category.,simple_lookup,Markdown,2,,,,,
Q004,Find all products in the Electronics category.,simple_lookup,Markdown,3,,,,,
Q004,Find all products in the Electronics category.,simple_lookup,RDF,1,,,,,
Q004,Find all products in the Electronics category.,simple_lookup,RDF,2,,,,,
Q004,Find all products in the Electronics category.,simple_lookup,RDF,3,,,,,
Q005,What is the stock level of product P010?,simple_lookup,Markdown,1,,,,,
Q005,What is the stock level of product P010?,simple_lookup,Markdown,2,,,,,
Q005,What is the stock level of product P010?,simple_lookup,Markdown,3,,,,,
Q005,What is the stock level of product P010?,simple_lookup,RDF,1,,,,,
Q005,What is the stock level of product P010?,simple_lookup,RDF,2,,,,,
Q005,What is the stock level of product P010?,simple_lookup,RDF,3,,,,,
Q006,Is product P015 in stock or out of stock?,simple_lookup,Markdown,1,,,,,
Q006,Is product P015 in stock or out of stock?,simple_lookup,Markdown,2,,,,,
Q006,Is product P015 in stock or out of stock?,simple_lookup,Markdown,3,,,,,
Q006,Is product P015 in stock or out of stock?,simple_lookup,RDF,1,,,,,
Q006,Is product P015 in stock or out of stock?,simple_lookup,RDF,2,,,,,
Q006,Is product P015 in stock or out of stock?,simple_lookup,RDF,3,,,,,
Q007,What brand makes product P025?,simple_lookup,Markdown,1,,,,,
Q007,What brand makes product P025?,simple_lookup,Markdown,2,,,,,
Q007,What brand makes product P025?,simple_lookup,Markdown,3,,,,,
Q007,What brand makes product P025?,simple_lookup,RDF,1,,,,,
Q007,What brand makes product P025?,simple_lookup,RDF,2,,,,,
Q007,What brand makes product P025?,simple_lookup,RDF,3,,,,,
Q008,List all products with SKU starting with P01 (P010-P019).,simple_lookup,Markdown,1,,,,,
Q008,List all products with SKU starting with P01 (P010-P019).,simple_lookup,Markdown,2,,,,,
Q008,List all products with SKU starting with P01 (P010-P019).,simple_lookup,Markdown,3,,,,,
Q008,List all products with SKU starting with P01 (P010-P019).,simple_lookup,RDF,1,,,,,
Q008,List all products with SKU starting with P01 (P010-P019).,simple_lookup,RDF,2,,,,,
Q008,List all products with SKU starting with P01 (P010-P019).,simple_lookup,RDF,3,,,,,
Q009,Find all products priced under $50.,simple_lookup,Markdown,1,,,,,
Q009,Find all products priced under $50.,simple_lookup,Markdown,2,,,,,
Q009,Find all products priced under $50.,simple_lookup,Markdown,3,,,,,
Q009,Find all products priced under $50.,simple_lookup,RDF,1,,,,,
Q009,Find all products priced under $50.,simple_lookup,RDF,2,,,,,
Q009,Find all products priced under $50.,simple_lookup,RDF,3,,,,,
Q010,What products are out of stock?,simple_lookup,Markdown,1,,,,,
Q010,What products are out of stock?,simple_lookup,Markdown,2,,,,,
Q010,What products are out of stock?,simple_lookup,Markdown,3,,,,,
Q010,What products are out of stock?,simple_lookup,RDF,1,,,,,
Q010,What products are out of stock?,simple_lookup,RDF,2,,,,,
Q010,What products are out of stock?,simple_lookup,RDF,3,,,,,
Q011,How many total products are in the catalog?,aggregation,Markdown,1,,,,,
Q011,How many total products are in the catalog?,aggregation,Markdown,2,,,,,
Q011,How many total products are in the catalog?,aggregation,Markdown,3,,,,,
Q011,How many total products are in the catalog?,aggregation,RDF,1,,,,,
Q011,How many total products are in the catalog?,aggregation,RDF,2,,,,,
Q011,How many total products are in the catalog?,aggregation,RDF,3,,,,,
Q012,What is the average price of all products?,aggregation,Markdown,1,,,,,
Q012,What is the average price of all products?,aggregation,Markdown,2,,,,,
